Submission ID,Respondent ID,Submitted at,Enter your age,Enter your Gender,Program of Study,Semester,Program/Course,Program Other Field,Prior Meditation Experience:,Frequency of Meditation:,Average Duration of each meditation session:,Type of Meditation practiced:,Would you do meditation voluntarily? By yourself ,PRE1. I feel stressed about academic deadlines and exams.,PRE2. I struggle to concentrate on studies due to stress.,PRE3. Meditation does not help reduce my stress.,PRE4. I often feel anxious before tests or assignments.,PRE5. I can manage multiple academic tasks without feeling overwhelmed.,PRE6. Stress negatively affects my academic performance.,PRE7. I feel calm and focused during study sessions.,POST1. I feel stressed about academic deadlines and exams.,POST2. I struggle to concentrate on studies due to stress.,POST3. Meditation does not help reduce my stress.,POST4. I often feel anxious before tests or assignments.,POST5. I can manage multiple academic tasks without feeling overwhelmed.,POST6. Stress negatively affects my academic performance.,POST7. I feel calm and focused during study sessions.,1. How did meditation influence your stress levels during academic tasks?,"2. Which meditation practices were most effective for you, and why?","3. Did meditation help improve focus, time management, or emotional stability? Please explain.",Consent Checkbox,Consent Checkbox (Yes),MISC1. Did meditation just work for you now?,Relaxing Recommendations,Relaxing Recommendations (Check me for relaxing recommendations ),"MISC2. How frequently do you experience physical symptoms of stress (e.g., headaches, muscle tension) related to academic work?","Describe your problem: (And don't worry, this is full private. We won't say anything, nor will we show any of the teachers)",MISC3. Do you use meditation to cope with exam/academic stress?,Do you do anything else than just meditation? ,What do you actually do to reduce stress during exam time?,So... what do you do to relax during exam time?,MISC4. Will you recommend meditation to your classmates or other students for stress relief?,MISC5. Do you have any other thoughts about meditation and college stress?,"MISC6. How did our form feel compared to the others? Good, not good, etc? Can you please rate it? where 0 is worst, and 10 is best.",Form Comparison: Unique or not.,"Form Comparison: Unique or not. (Yes, definitely unique. Want to see more like this. )","Form Comparison: Unique or not. (Unique, but I don't think I want to see more like this. I want the standard ones. )","Form Comparison: Unique or not. (I don't know, dude. It looks the same to me.)"
pbvNYyB,dWW5Blq,2025-10-03 6:28:27,19,Male,Undergraduate (UG),3,B. Com,,Rare (less than once a week),1-2 days/week,Less than 5 mins,Mindfullness/Awareness,Maybe?,3,2,2,2,3,3,2,3,2,4,3,3,3,3,Reduce stress,Breathing exercises ,Yes ,Yes,TRUE,1,,,Headaches.,,No,,Music,,Maybe?,,6,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ODkZx4g,VLLk2VJ,2025-10-03 6:28:30,19,Female,Undergraduate (UG),3,B. Com,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,3,3,5,3,3,4,3,3,3,3,3,3,3,3,Moderate ,None,Kinda ,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. ",,No,,Just roam around,,Maybe?,"No, I don't ",5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
xXv78QG,5BByWlM,2025-10-03 6:29:35,20,Male,Undergraduate (UG),3,B. Com,,Rare (less than once a week),1-2 days/week,15-30 mins,Breath-based (Pranayama),No,2,1,3,2,4,2,4,2,2,3,2,4,2,4,It had a neutral influence.,Pranayama and Shavasana ,I don't strongly believe that it can help in any of the above mentioned. Maybe due to my inexperience in the field .,Yes,TRUE,2,,,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,Not really,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
RGkQqZP,yPPWVop,2025-10-03 6:30:19,18,Male,Undergraduate (UG),3,B. Com,,Occasional (1–3 times/week),1-2 days/week,30-60 mins,Breath-based (Pranayama),No,1,1,5,3,4,4,4,1,1,5,3,4,4,5,Not really much i usually sleep if i feel stressed helps a lot,Sleeping ,Not really i generally am better at these stuff ,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,"Music, Games, Hobbies, Just roam around, Hang out with friends, ",Sleep ,No,Instead of cure find precautions ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
2E7Y9bb,RGG7Ebp,2025-10-03 6:30:21,19,Male,Undergraduate (UG),3,B. Com,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,No,2,1,5,2,3,3,3,2,3,4,2,3,2,3,Not yet started,Not yet started,Not yet started ,Yes,TRUE,0,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,"Other, Hang out with friends",,No,No,0,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
pbvNYJy,q4420vk,2025-10-03 6:30:49,19,Female,Undergraduate (UG),3,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),No,5,5,3,5,4,4,2,5,5,4,5,2,4,2,It didn't influence much ,None ,Nope ,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Feel constantly tired., Headaches., Dizziness?",,No,,"Music, Games, Just roam around, Hang out with friends",,No,It's crazy hard to balance stuff ,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
obvZ855,aQQ87vy,2025-10-03 6:30:52,19,Male,Undergraduate (UG),3,B. Com,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,2,2,2,2,4,2,4,2,2,2,2,4,2,4,It help me to keep my mind calm ,Pranayama as it is breath based. ,Yes ,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,"Muscle tension: Neck, shoulder and other stiffness when you're working for a long time. , Headaches.",,Yes,"Games, Music",,,Yes,No,0,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
KYk4raD,zxxaPdE,2025-10-03 6:30:59,19,Male,Undergraduate (UG),3,B. Com,,Occasional (1–3 times/week),1-2 days/week,Less than 5 mins,Breath-based (Pranayama),Maybe?,3,3,2,3,3,3,3,3,3,2,3,3,3,3,It increased my focus in certain aspects ,Breathing exercises ,"Yes it did
If did increase my focus in studies and as well as normal life ",Yes,TRUE,3,,,Headaches.,,No,,Music,,Yes,"I mean it should be practiced every now and then in college....but the environment should is calm and quiet 
Only then we'll be able to do the meditations properly 
like MAOM classes were not that effective because all the noise ",10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
D4MoRZE,Gxx28bz,2025-10-03 6:31:01,18,Male,Undergraduate (UG),3,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,Mantra-based,Maybe?,3,4,3,3,3,3,3,3,3,3,3,3,3,3,Never did it religiously ,Pranayama ,I don't think it helps,Yes,TRUE,2,,,"No symptoms, bro! All fine. ",,No,,Hang out with friends,,No,No judgement zone,6,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
Y5kb7kv,444geOd,2025-10-03 6:31:08,18,Female,Undergraduate (UG),3,B. Com,,Rare (less than once a week),1-2 days/week,5-15 mins,Mindfullness/Awareness,Maybe?,5,5,3,5,3,5,2,5,5,2,3,3,3,3,,,,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Feel constantly tired.,,Yes,"Music, Just roam around, Hang out with friends",,,Maybe?,Nothing ,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
ODkZxEa,aQQ87zW,2025-10-03 6:31:10,19,Female,Undergraduate (UG),3,B. Com,,Rare (less than once a week),0 days/week,5-15 mins,Mindfullness/Awareness,Maybe?,5,5,3,5,3,5,2,5,5,2,3,3,3,3,,,,Yes,TRUE,3,Check me for relaxing recommendations ,TRUE,Feel constantly tired.,,Yes,"Hobbies, Hang out with friends, Just roam around",,,Maybe?,,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
LZkj4Bv,2EEMQ5M,2025-10-03 6:32:12,20,Male,Undergraduate (UG),3,B. Com,,None,0 days/week,Less than 5 mins,Mindfullness/Awareness,No,2,2,2,3,4,5,3,4,3,3,5,2,3,3,I don't no about it, May be Pranayama,May be,Yes,TRUE,1,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,No,,Hang out with friends,,Maybe?,,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
NpdNOBl,obbrl9X,2025-10-03 10:00:14,19,Female,Undergraduate (UG),5,BCA,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),No,3,2,1,3,3,3,3,3,3,3,3,3,3,3,Good,Pranayamam,Yes,Yes,TRUE,4,,FALSE,"No symptoms, bro! All fine. ",,No,,"Music, Hang out with friends, Just roam around",,Yes,No,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
Gx5E7EO,KYY78og,2025-10-03 10:02:19,25,Female,Undergraduate (UG),8,BCA,,Occasional (1–3 times/week),3-4 days/week,15-30 mins,Mindfullness/Awareness,Yes,5,5,5,5,5,5,5,4,5,5,4,5,4,5,Meditate,Morning practices,Yes,Yes,TRUE,5,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,No,10,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
Bz0ogO4,yPPKjGB,2025-10-03 10:13:50,20,Female,Postgraduate (PG),1,MCA,,None,3-4 days/week,15-30 mins,Mantra-based,Yes,3,4,3,3,4,4,3,3,3,3,4,4,4,4,Bye being calm ,"Pranayama 
","Yes 
",Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes,No ,5,"Yes, definitely unique. Want to see more like this. , Unique, but I don't think I want to see more like this. I want the standard ones. , I don't know, dude. It looks the same to me.",TRUE,TRUE,TRUE
ODkqpQ7,xXXkLar,2025-10-03 11:36:28,21,Female,Postgraduate (PG),1,MBA,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,2,2,2,2,4,2,3,2,2,2,2,3,2,3,It's usually the same ,Don't know ,Close your eyes and sit for a while ,Yes,TRUE,0,,FALSE,"No symptoms, bro! All fine. ",,No,,Music,,Maybe?,Nooo,7,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
aQvpDp9,XxxVZ0O,2025-10-03 13:02:21,20,Male,Undergraduate (UG),7,B.E,,Rare (less than once a week),1-2 days/week,15-30 mins,Breath-based (Pranayama),Yes,3,4,5,1,4,2,5,2,2,1,1,5,2,2,It helps me manage pressure and to focus,Breath based,"yes, it does. couple of deep breaths would calm my mind and help my decision taking ability",Yes,TRUE,5,,,"Feel constantly tired., Headaches.",,Yes,"Music, Games, Hang out with friends",,,Yes, ,10,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
xXv84ZE,XxxVVYj,2025-10-03 13:16:46,19,Female,Undergraduate (UG),3,BCA,,None,0 days/week,Less than 5 mins,Breath-based (Pranayama),Yes,4,3,2,4,2,3,2,3,2,3,2,4,2,4,It calms the mind ,"Pranayama, it gives more calmness ",Yes,Yes,TRUE,2, ,FALSE,,,No,,,,,No,5,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
A7yEzJB,aQOO0Yq,2025-10-04 7:34:14,21,Female,Undergraduate (UG),7,Be,,Rare (less than once a week),0 days/week,Less than 5 mins,Breath-based (Pranayama),No,3,3,3,3,4,4,4,4,4,3,4,4,4,4,It helped me stay calm,Pranayama,Yes,Yes,TRUE,2,Check me for relaxing recommendations ,TRUE,"No symptoms, bro! All fine. ",,Yes,Music,,,Yes, ,8,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
VLNLvdy,J91OWrY,2025-10-06 3:55:06,19,Male,Undergraduate (UG),1,B. Com,,Occasional (1–3 times/week),1-2 days/week,5-15 mins,Breath-based (Pranayama),Yes,3,3,1,1,3,4,4,4,3,5,3,1,3,3,I feel more comfortable ,Breathing meditation ,Yes i increased my focus by meditation ,Yes,TRUE,4,Check me for relaxing recommendations ,TRUE,Dizziness?,,Yes,"Music, Hang out with friends, Games",,,Yes,Meditation is good for health and we need to practice it on daily basis ,9,"Yes, definitely unique. Want to see more like this. ",TRUE,FALSE,FALSE
